nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
BAY 321270 800172 94305 346440 321270 25170 1909529 1LVBQDK 66 66 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 321270 25170 1909529 1LVBQDK 65 65 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 321270 25170 1909529 1LVBQDK 68 68 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 321270 25170 1909529 1LVBQDK 67 67 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 321270 25170 1909529 1LVBQDK 65 65 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346440 321270 25170 1909529 1LVBQDK 66 66 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 321270 25165 2035360 2LVBQDK 71 71 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 321270 25165 2035360 2LVBQDK 71 71 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 321270 25165 2035360 2LVBQDK 72 72 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 321270 25165 2035360 2LVBQDK 71 71 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 321270 25165 2035360 2LVBQDK 72 72 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 321270 25165 2035360 2LVBQDK 72 72 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 321270 25165 2035360 2LVBQDK 71 71 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 321270 25165 2035360 2LVBQDK 71 71 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 321270 25165 2035360 2LVBQDK 72 72 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 346435 321270 25165 2035360 2LVBQDK 71 71 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 339301 37181 157753 3LVBQDK 77 77 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 339301 37181 157753 3LVBQDK 77 77 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 339301 37181 157753 3LVBQDK 77 77 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 339301 37181 157753 3LVBQDK 78 78 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 339301 37181 157753 3LVBQDK 77 77 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 339301 37181 157753 3LVBQDK 77 77 0 0 0 0 0 0 0 0 0
BAY 321270 800172 94305 376482 339301 37181 157753 3LVBQDK 77 77 0 0 0 0 0 0 0 0 0
