nome n m c fila cpu_time wall_time l1 l2 llc cycles inst dtlb page_faults rss branch_inst branch_miss
BAY 321270 800172 94305 6LVBQ 114 114 2453950 1553903 146256 497800924 1287123924 41857 0 70032 166954981 979357
BAY 321270 800172 94305 6LVBQ 114 114 2438150 1544006 148704 497335390 1287126911 42603 0 70032 166955702 976993
BAY 321270 800172 94305 6LVBQ 114 114 2446680 1550596 148089 498820050 1287124374 42656 0 70032 166955131 978406
BAY 321270 800172 94305 6LVBQ 114 114 2428065 1541752 149747 496478567 1287123127 42757 0 70032 166954794 978572
BAY 321270 800172 94305 6LVBQ 114 114 2467966 1553948 147934 496698651 1287124178 42319 0 70032 166955037 978887
BAY 321270 800172 94305 1LVBQDK 76 76 4250194 2257473 179999 328132967 664261516 49981 1883 70032 86079428 954306
BAY 321270 800172 94305 1LVBQDK 76 76 4201156 2211460 178726 329677118 664262770 50594 2510 70032 86080206 953827
BAY 321270 800172 94305 1LVBQDK 73 73 4364986 2355381 178974 327120225 664259914 49722 0 70032 86077616 954539
BAY 321270 800172 94305 1LVBQDK 73 73 4342719 2336811 178613 326741202 664260494 49825 256 70260 86077953 954189
BAY 321270 800172 94305 1LVBQDK 74 74 4349276 2362819 179670 328108090 664260182 52227 0 70260 86077678 952974
BAY 321270 800172 94305 1LVBQDK 74 74 4342590 2350344 179516 328654939 664260378 52878 256 71284 86077920 953164
BAY 321270 800172 94305 1LVBQDK 74 74 4360831 2366551 179604 328605518 664260168 52093 0 71284 86077677 955379
BAY 321270 800172 94305 1LVBQDK 73 73 4371283 2377166 175790 327336687 664259701 52871 0 71284 86077560 954639
BAY 321270 800172 94305 1LVBQDK 74 74 4365800 2359924 179119 328083955 664259638 51948 0 71284 86077551 953086
BAY 321270 800172 94305 1LVBQDK 74 74 4362061 2356116 179291 328482471 664260210 52757 0 71284 86077683 953437
BAY 321270 800172 94305 2LVBQDK 83 83 3718256 1765188 165539 361601717 753551530 52155 3105 71284 92040464 1005429
BAY 321270 800172 94305 2LVBQDK 81 81 3896255 1914748 164087 355630136 753549524 51909 628 71284 92038091 1003691
BAY 321270 800172 94305 2LVBQDK 80 80 3932845 1952699 163861 354872943 753548671 52693 0 71284 92037411 1003947
BAY 321270 800172 94305 2LVBQDK 80 80 3911629 1933397 165755 355439371 753549442 52924 313 71284 92037835 1003719
BAY 321270 800172 94305 2LVBQDK 80 80 3916223 1951535 165969 356897866 753548731 54978 0 71284 92037428 1003449
BAY 321270 800172 94305 2LVBQDK 80 80 3917179 1947385 167603 357292114 753548732 53608 0 71284 92037418 1004168
BAY 321270 800172 94305 2LVBQDK 80 80 3930152 1955019 165424 355006441 753548678 51911 0 71284 92037410 1003719
BAY 321270 800172 94305 2LVBQDK 80 80 3928543 1955013 163425 356007865 753549101 50404 0 71284 92037507 1003922
BAY 321270 800172 94305 2LVBQDK 80 80 3915475 1945419 165595 354876297 753548729 50285 0 71284 92037419 1004125
BAY 321270 800172 94305 2LVBQDK 80 80 3929475 1949673 164780 354721658 753549089 51887 0 71284 92037503 1003702
BAY 321270 800172 94305 3LVBQDK 89 89 3655775 1858056 163992 387566055 837372064 51231 3419 71284 96753881 1084981
BAY 321270 800172 94305 3LVBQDK 87 87 3816691 2017205 164613 384778664 837369483 53247 627 71284 96751119 1082438
BAY 321270 800172 94305 3LVBQDK 87 87 3865663 2064389 165227 386642133 837368455 52147 0 71284 96750408 1080939
BAY 321270 800172 94305 3LVBQDK 87 87 3840186 2033792 163340 384490543 837369378 51868 314 71284 96750864 1066648
BAY 321270 800172 94305 3LVBQDK 86 86 3871954 2061611 164034 383554594 837368709 50978 0 71284 96750462 1066245
BAY 321270 800172 94305 3LVBQDK 86 86 3854539 2052731 163473 381843300 837368544 50848 0 71284 96750413 1066528
BAY 321270 800172 94305 3LVBQDK 86 86 3863748 2057443 163699 384395939 837368488 51656 0 71284 96750411 1066418
BAY 321270 800172 94305 3LVBQDK 86 86 3869746 2058296 164799 384345620 837369056 51338 0 71284 96750539 1066411
BAY 321270 800172 94305 3LVBQDK 86 86 3865824 2058032 164175 383131364 837368689 50669 0 71284 96750452 1066213
BAY 321270 800172 94305 3LVBQDK 87 87 3875173 2061431 164279 385034127 837369061 54786 0 71284 96750544 1066131
BAY 321270 800172 94305 4LVBQDK 124 124 5767636 2126102 164064 534752782 1265206169 59849 3419 71284 146702372 1272288
BAY 321270 800172 94305 4LVBQDK 121 121 5957840 2301106 161364 530189534 1265203756 56450 627 71284 146699657 1271719
