nome n m c fila run l1 l2 llc cycles
FLA 1070376 2712798 214013 FIB 1019 6823044 4703624 443168 3043480485
LKS 2758119 6885658 138911 1LVBQ 1179 44433474 40531072 2680807 3245785038
LKS 2758119 6885658 138911 1LVBQ 1177 44643066 40809937 2678510 3248015426
LKS 2758119 6885658 138911 1LVBQ 1198 44886720 40809091 2679015 3308088481
LKS 2758119 6885658 138911 1LVBQ 1171 44613339 40665644 2672300 3238856462
LKS 2758119 6885658 138911 1LVBQ 1171 44622262 40732593 2693908 3239135357
LKS 2758119 6885658 138911 1LVBQ 1178 44658596 41033420 2690772 3245540273
LKS 2758119 6885658 138911 1LVBQ 1175 44648927 40823521 2682891 3247126631
LKS 2758119 6885658 138911 1LVBQ 1178 44643813 40801099 2699281 3248629782
LKS 2758119 6885658 138911 1LVBQ 1176 44678268 40719855 2684846 3250814467
LKS 2758119 6885658 138911 1LVBQ 1166 44643808 40795091 2689946 3221289122
LKS 2758119 6885658 138911 2LVBQ 1025 35220612 23038865 1589780 2948869403
LKS 2758119 6885658 138911 2LVBQ 1037 35001060 22759197 1589451 2970667419
LKS 2758119 6885658 138911 2LVBQ 1036 34909047 22621664 1592183 2963836193
LKS 2758119 6885658 138911 2LVBQ 1031 35289903 22992286 1596471 2965072224
LKS 2758119 6885658 138911 2LVBQ 1025 35290233 22974336 1594846 2954419573
LKS 2758119 6885658 138911 2LVBQ 1034 35100570 22816002 1598508 2968015753
LKS 2758119 6885658 138911 2LVBQ 1029 35295899 22973826 1594059 2962005151
LKS 2758119 6885658 138911 2LVBQ 1029 35351314 22995304 1580137 2963017305
LKS 2758119 6885658 138911 2LVBQ 1036 35372976 23096249 1593606 2974767784
LKS 2758119 6885658 138911 2LVBQ 1031 35297375 23018904 1592475 2963834614
LKS 2758119 6885658 138911 BINH 1414 23988450 16752957 1390393 4123765358
LKS 2758119 6885658 138911 BINH 1411 24035370 16790681 1394290 4121407628
LKS 2758119 6885658 138911 BINH 1394 24392719 17084176 1386051 4096980256
LKS 2758119 6885658 138911 BINH 1412 24241493 17104588 1401069 4129615786
LKS 2758119 6885658 138911 BINH 1403 24380536 17179883 1394418 4118765819
LKS 2758119 6885658 138911 BINH 1401 24461080 17221600 1390139 4112220640
LKS 2758119 6885658 138911 BINH 1397 24403170 17107913 1383440 4103145289
LKS 2758119 6885658 138911 BINH 1403 24384828 17106094 1398563 4115078992
LKS 2758119 6885658 138911 BINH 1390 24504498 17137782 1365674 4088848517
LKS 2758119 6885658 138911 BINH 1401 24394486 17158277 1404171 4111126372
LKS 2758119 6885658 138911 4AH 1372 24126962 16928041 1376772 3988757301
LKS 2758119 6885658 138911 4AH 1380 24446372 17029394 1426395 4015310231
LKS 2758119 6885658 138911 4AH 1354 24636174 17308774 1387547 3967878772
LKS 2758119 6885658 138911 4AH 1361 24496021 17199788 1389460 3974277328
LKS 2758119 6885658 138911 4AH 1358 24595892 17294499 1410672 3970576507
LKS 2758119 6885658 138911 4AH 1354 24592215 17273676 1382528 3966711453
LKS 2758119 6885658 138911 4AH 1370 24815193 17391971 1408744 3998931757
LKS 2758119 6885658 138911 4AH 1357 24595871 17307673 1386463 3970449962
LKS 2758119 6885658 138911 4AH 1350 24598359 17274318 1380440 3958943747
LKS 2758119 6885658 138911 4AH 1370 24709800 17390161 1371835 4002896874
LKS 2758119 6885658 138911 RH 2302 24039401 16576553 1348045 6829385494
LKS 2758119 6885658 138911 RH 2298 24164057 16660104 1338376 6829232985
LKS 2758119 6885658 138911 RH 2292 24607597 17080197 1357642 6827763242
LKS 2758119 6885658 138911 RH 2294 24425216 16980131 1325959 6822746492
LKS 2758119 6885658 138911 RH 2281 24579976 16993297 1341218 6792229904
LKS 2758119 6885658 138911 RH 2286 24522777 17040536 1339939 6802194861
LKS 2758119 6885658 138911 RH 2281 24580208 16960867 1334269 6788511499
LKS 2758119 6885658 138911 RH 2281 24640886 17068945 1337943 6789602436
LKS 2758119 6885658 138911 RH 2292 24549784 17115868 1331185 6815921549
LKS 2758119 6885658 138911 RH 2282 24536340 16996628 1332592 6791309513
LKS 2758119 6885658 138911 FIB 2837 23266372 15761822 1370485 8436113106
LKS 2758119 6885658 138911 FIB 2832 23376742 15896109 1332424 8434433935
LKS 2758119 6885658 138911 FIB 2819 23735831 16200859 1353659 8411788790
LKS 2758119 6885658 138911 FIB 2825 23550806 16043427 1354778 8422657213
LKS 2758119 6885658 138911 FIB 2828 23739443 16265554 1364360 8440344825
LKS 2758119 6885658 138911 FIB 2822 23748334 16238902 1337820 8428094763
LKS 2758119 6885658 138911 FIB 2820 23722212 16216883 1353344 8417926551
LKS 2758119 6885658 138911 FIB 2825 23718007 16210573 1337546 8434784995
LKS 2758119 6885658 138911 FIB 2820 23736741 16204180 1325221 8420587170
LKS 2758119 6885658 138911 FIB 2830 23747278 16258038 1371130 8445140006
W 6262104 15248146 368855 1LVBQ 2911 104817841 117775137 7957024 7785767971
W 6262104 15248146 368855 1LVBQ 2901 104771549 117424579 7969600 7751241604
W 6262104 15248146 368855 1LVBQ 2913 104771928 117485162 7966241 7786970688
W 6262104 15248146 368855 1LVBQ 2902 104780415 117563615 7956240 7758225347
W 6262104 15248146 368855 1LVBQ 2901 104718729 117396887 7957113 7756340032
W 6262104 15248146 368855 1LVBQ 2904 104798432 117520101 7955976 7759987926
W 6262104 15248146 368855 1LVBQ 2890 104808790 117460902 7953010 7722687388
W 6262104 15248146 368855 1LVBQ 2902 104775317 117412445 7957290 7762436138
W 6262104 15248146 368855 1LVBQ 2903 104765911 117469337 7948732 7755417486
W 6262104 15248146 368855 1LVBQ 2886 104807892 117297082 7944299 7713673290
W 6262104 15248146 368855 2LVBQ 2536 94608514 78484892 4876070 7062399525
W 6262104 15248146 368855 2LVBQ 2552 94630918 77587001 4865510 7083174469
W 6262104 15248146 368855 2LVBQ 2552 95174569 77869255 4841599 7086705493
W 6262104 15248146 368855 2LVBQ 2548 95259487 77957358 4870462 7076793925
W 6262104 15248146 368855 2LVBQ 2545 95996674 78635777 4863166 7084565321
