nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
MEM4 100000 500000 10000 151031 151031 0 2959 4LVBQ 47 47 152093327 1672911 497416 80119 111593719 308356053 43392 21 54172670 221551
MEM4 100000 500000 10000 150977 150977 0 2943 4LVBQ 55 55 156478832 1696034 503613 166845 125010885 313554535 39720 1 54488686 215682
MEM4 100000 500000 10000 151549 151549 0 2919 4LVBQ 59 59 151950006 1655646 494268 223214 127421840 294345578 41817 0 54486018 212421
MEM4 100000 500000 10000 151152 151152 0 2878 4LVBQ 55 55 152945366 1685227 491224 167561 125849192 326231163 38627 11 55346694 208151
MEM4 100000 500000 10000 151046 151046 0 2910 4LVBQ 54 54 155307715 1679365 506513 121195 115165325 319636901 37464 1 54999110 214669
MEM4 100000 500000 10000 151269 151269 0 2930 4LVBQ 54 54 154751675 1699321 496617 137009 123751151 318108974 43219 53 54961167 214534
MEM4 100000 500000 10000 146647 146647 0 5092 5LVBQ 52 52 175006902 1709001 488598 80485 126222152 372455959 40067 0 62080284 210289
MEM4 100000 500000 10000 147054 147054 0 5002 5LVBQ 53 53 179488746 1722900 509206 83226 126164092 371814293 38318 0 63212186 219622
MEM4 100000 500000 10000 147101 147101 0 5062 5LVBQ 52 52 177593762 1706446 505614 79827 126919559 381746064 40945 0 61993474 211272
MEM4 100000 500000 10000 146879 146879 0 5153 5LVBQ 52 52 175313092 1694863 505219 81603 126604480 379604567 39838 0 60810210 206596
MEM4 100000 500000 10000 147077 147077 0 5143 5LVBQ 52 52 173648184 1705454 497789 79052 126954004 367334317 39058 0 60603162 218890
MEM4 100000 500000 10000 146777 146777 0 5165 5LVBQ 56 56 174222396 1693481 495763 137298 128635935 340750628 40684 0 59764073 208136
MEM4 100000 500000 10000 146955 146955 0 5091 5LVBQ 54 54 175056376 1717753 507069 96700 127350005 361479814 35604 0 60644110 211082
MEM4 100000 500000 10000 146900 146900 0 5066 5LVBQ 53 53 180478146 1714116 500460 82717 123623293 366350012 40432 1 62340443 220085
MEM4 100000 500000 10000 146828 146828 0 5058 5LVBQ 52 52 172336882 1682878 498476 83894 119260866 349962745 38235 0 60165708 208305
MEM4 100000 500000 10000 146793 146793 0 5035 5LVBQ 52 52 173367900 1733016 507956 80112 119535149 344193409 36520 0 60239035 209620
MEM4 100000 500000 10000 146912 146912 0 5302 6LVBQ 61 61 176834768 1697399 529537 142535 140889721 373711364 41437 357 61934981 211983
MEM4 100000 500000 10000 147006 147006 0 5261 6LVBQ 53 53 178352392 1701474 505737 92436 127126127 359807042 40612 87 62048567 213421
MEM4 100000 500000 10000 146790 146790 0 5341 6LVBQ 53 53 179341626 1686748 500667 89602 124766456 352969859 39650 0 60820725 212288
