nome n m c insert extractMin dk bkmp upd fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
BAY 321270 800172 94305 346772 346772 0 0 346772 5LVBQ 119 119 444816275 1638568 195534 79849 289996996 912617347 10275 0 159283615 1021703
BAY 321270 800172 94305 346459 346459 0 0 346459 5LVBQ 119 119 440241519 1712095 234748 98740 291839526 905484150 12742 0 157628978 1027859
BAY 321270 800172 94305 346695 346695 0 0 346695 5LVBQ 117 117 438508257 1751653 217760 83361 284236997 898566187 11437 0 157057254 1004031
BAY 321270 800172 94305 346518 346518 0 0 346518 5LVBQ 120 120 438798551 1762407 244647 109864 296945806 909217821 13039 0 157690215 1056998
BAY 321270 800172 94305 346609 346609 0 0 346609 5LVBQ 123 123 456101418 1550563 213294 99293 302983449 947117121 8675 0 163944831 1090709
BAY 321270 800172 94305 346486 346486 0 0 346486 5LVBQ 118 118 432434248 1782290 230751 102663 289464205 893998535 14776 0 155889137 991954
BAY 321270 800172 94305 346863 346863 0 0 346863 5LVBQ 119 119 437196126 1823265 225823 100133 286941097 893998404 12976 0 156212281 998092
BAY 321270 800172 94305 346624 346624 0 0 346624 5LVBQ 119 119 439970161 1698410 229558 96779 291704926 908326271 10642 0 158137491 1031220
BAY 321270 800172 94305 346611 346611 0 0 346611 5LVBQ 124 124 457803733 1530444 214469 97417 303560934 941534619 8433 0 164592306 1093184
BAY 321270 800172 94305 346484 346484 0 0 346484 5LVBQ 123 123 452787045 1576625 220227 109290 302929135 942261241 9263 0 162408534 1075761
BAY 321270 800172 94305 346832 346832 0 0 346832 6LVBQ 125 125 466764860 1831490 233091 106874 305863251 950403540 13731 0 164670405 1048337
BAY 321270 800172 94305 346579 346579 0 0 346579 6LVBQ 131 131 484592119 1510828 214475 98536 325833269 1008097921 8772 0 172008661 1176247
